month,year,city,state,countKiaHyundaiThefts,countOtherThefts,percentKiaHyundai
Jan,2019,Milwaukee,WI,22,235,0.086
Feb,2019,Milwaukee,WI,13,218,0.056
Mar,2019,Milwaukee,WI,10,195,0.049
Apr,2019,Milwaukee,WI,10,238,0.040
May,2019,Milwaukee,WI,11,280,0.038
Jun,2019,Milwaukee,WI,15,330,0.043
Jul,2019,Milwaukee,WI,25,295,0.078
Aug,2019,Milwaukee,WI,21,352,0.056
Sep,2019,Milwaukee,WI,18,256,0.066
Oct,2019,Milwaukee,WI,25,266,0.086
Nov,2019,Milwaukee,WI,14,309,0.043
Dec,2019,Milwaukee,WI,23,307,0.070
Jan,2020,Milwaukee,WI,24,289,0.077
Feb,2020,Milwaukee,WI,24,266,0.083
Mar,2020,Milwaukee,WI,27,249,0.098
Apr,2020,Milwaukee,WI,17,224,0.071
May,2020,Milwaukee,WI,12,242,0.047
Jun,2020,Milwaukee,WI,16,266,0.057
Jul,2020,Milwaukee,WI,24,414,0.055
Aug,2020,Milwaukee,WI,20,403,0.047
Sep,2020,Milwaukee,WI,39,322,0.108
Oct,2020,Milwaukee,WI,77,358,0.177
Nov,2020,Milwaukee,WI,209,320,0.395
Dec,2020,Milwaukee,WI,406,296,0.578
Jan,2021,Milwaukee,WI,512,278,0.648
Feb,2021,Milwaukee,WI,348,281,0.553
Mar,2021,Milwaukee,WI,496,222,0.691
Apr,2021,Milwaukee,WI,598,239,0.714
May,2021,Milwaukee,WI,594,304,0.661
Jun,2021,Milwaukee,WI,644,275,0.701
Jul,2021,Milwaukee,WI,760,306,0.713
Aug,2021,Milwaukee,WI,832,337,0.712
Sep,2021,Milwaukee,WI,605,303,0.666
Oct,2021,Milwaukee,WI,560,338,0.624
Nov,2021,Milwaukee,WI,537,315,0.630
Dec,2021,Milwaukee,WI,485,309,0.611
Jan,2022,Milwaukee,WI,425,415,0.506
Feb,2022,Milwaukee,WI,364,282,0.563
Mar,2022,Milwaukee,WI,407,274,0.598
Apr,2022,Milwaukee,WI,396,252,0.611
May,2022,Milwaukee,WI,436,278,0.611
Jun,2022,Milwaukee,WI,508,279,0.645
Jul,2022,Milwaukee,WI,487,332,0.595
Aug,2022,Milwaukee,WI,393,291,0.575
Sep,2022,Milwaukee,WI,295,253,0.538
Oct,2022,Milwaukee,WI,374,255,0.595
Nov,2022,Milwaukee,WI,305,210,0.592
Dec,2022,Milwaukee,WI,289,256,0.530